Sl. No,Entity name,Final Entity Name,Final Attribute Name,Attribute Name,Sample Value,Physical Entity ,SAP PM Field Defn,Notes
1,WorkOrder,WorkOrder,ShortName,ShortName,2.00E+11,AUFK (OrderMaster),Order Number,"We have mapped this to IDInInfoSource, especially if SAP system is the InfoSource (i.e., the system of record)"
2,WorkOrder,WorkManagementType,/WorkManagementType/ShortName,WorkManagementType,PM01,AUFK (OrderMaster),Order Type,"Will likely be a mapping to the Reference Data entry, not so much mapping PM01 into the name of the WorkManagementType. E.g., the entry for 'Maintenance, Corrective' with UUID 'cdc33a36-5f93-4f4c-a467-b4a78ff75578'"
3,WorkOrder,Agent,/Creator/FullName,Creator,SAP_USER_PM01,AUFK (OrderMaster),Entered by,Would map to the 'Agent' entity with a specific UUID that has the IDInInfoSource matching the user id stored in this field.
4,WorkOrder,WorkOrder,Created,Created,20211228:221210,AUFK (OrderMaster),"Created on, Time created",
5,WorkOrder,Agent,/LastEditor/FullName,LastEditor,SAP_USER_PM02,AUFK (OrderMaster),Last changed by,As for 'Entered by'
6,WorkOrder,WorkOrder,LastEdited,LastEdited,20211230:211210,AUFK (OrderMaster),"Change date for Order Number, Changed at",
7,WorkOrder,WorkOrder,StartBefore,StartBefore,20220115: 080000,AFIH (MaintenanceOrderHeader),"PM Order: Reference Date, Time of Reference Date","Our initial mapping looked at 'Date until which the system is available' as StartAfter. But the BAPI data structure we use has something called Basic start, that we have not traced back to the table itself"
8,WorkOrder,WorkOrder,Endbefore,EndBefore,20220131: 163000,AFKO (WorkOrderHeader),Basic finish date,"WorkOrderHeader is for Production Work Orders.
Our initial mapping looked at 'Date after which the system is available' as EndBefore. But the BAPI data structure we use has something called Basic end, that we have not traced back to the table itself"
9,WorkOrder,WorkOrder,FullName,FullName,Shorttextfororderheaderwith40characters,AUFK (OrderMaster),Description,Would make this Short Name
10,WorkOrder,WorkOrder,Description,Description,Long text for orderheader with multiple lines,LongTextDescription,Text Line,
11,WorkOrder,WorkOrder,PriorityLevelType,PriorityLevelType,4,AFIH (MaintenanceOrderHeader),Priority,"We have mapped this to the 6 PriorityLevelTypes in the CCOM Ref library. 1 -Highest, 2-High, 3-Moderate, 4-Lowest. Whether or not that is 'correct' could be disucssed and agreed upon."
12,WorkOrder,Asset,/Asset/Shortname,ShortName,1.00E+11,AFIH (MaintenanceOrderHeader),Equipment Number,"Would map to the Asset entity that matches the Equipment Number (i.e., as IDInInfoSource)."
13,WorkOrder,,,To be mapped to CCOM,MECHANIK,CRHD (WorkCenterHeader),Work Center,"This is related to the financial side of things. So far we have been treating that as internal to SAP and not exchaning these details. There are a couple of possibilities, could map to custom properties or map to Segments structures that rerpesent the work centre/financial elements."
14,WorkOrder,Same as A15,Same as A15,Same as A15?? - clarification needed,MARS,CRHD (WorkCenterHeader),Plant,A segment or possibly site from the breakdown structure
15,Work Order,Site,/Segment/RegistrationSite/ShortName,RegistrationSite,MARS,ILOA (FunctionLocation),Maintenance Plant,Would be a mapping to a Site Entity that matches the Maintenance Plant id/code of this field.
16,Work Order,Segment,/Segment/ShortName,ShortName,LOCATION01,ILOA (FunctionLocation),Location of maintenance object,"This is a data struct relating some more specific location information, possibly to the segment or site, but not the segment itself"
17,WorkOrder,Segment,/Segment/FullName,FullName,Z378-DTRN_-DEVO_D-512A-00000000000001,IFLOS (FunctionalLocationLabel),Functional Location Label,"Should this be 'Functional Location' referencing IFLOT which would be the reference to the Segment Entity that is the funcitonal location? Actually, IFLOT is at bottom A71, but unsure of the originating context, i.e., WorkOrder vs. WorkStep?"
18,WorkOrder,WorkStatus,/WorkStatus/ShortName,ShortName,REL PRC MANC SETC,JEST ,System Individual status of an object (short form) - Table TJ02T?,"This would map to WorkStatusTypes (via the WorkStatus entity). That is, each time the status changes, a new WorkStatus pointing to the matching WorkStatusType would be created in the CCOM representation."
19,WorkOrder,WorkStatus,/WorkStatus/FullName,FullName,SCP9 PLN9 MAT8,JEST,User Individual status of an object (short form) - Table TJ30T?,related to above.
20,WorkOrder,Agent,/AgentRoleWithWork/AgentRole/Agent/ShortName,ShortName,P1D,AFIH (MaintenanceOrderHeader),Planner Group for Customer Service and Plant Maintenance,"Will reference an Agent Entity, via the path described, that matches the ID/name of the planner group.
Will need reference data for the AgentRoleType to indicate that it is a Planner Group Role"
21,WorkOrder,Agent,/AgentRoleWithWork/AgentRole/Agent/FullName,FullName,Mechanical Planner,T024(PlannerGroup),Name of Maintenance Planner Group,"This is part of mapping the planner group into Agent, and may be ShortName."
22,WorkOrder,WorkManagementType,/Step/WorkManagementType/ShortName,ShortName,BKD,AFIH (MaintenanceOrderHeader),Maintenance Activity Type,"This would be an indicator of a more specialised WorkManagement Type from the taxonomy, which would be mapped to."
23,WorkOrder,WorkManagementType,/Step/WorkManagementType/FullName,FullName,Breakdown Maintenance Activity,T353I_T(MaintenanceActivtyType),Description of maintenance activity type,related to previous
24,Work Order,HealthAssessment,/Asset/HealthAssessment/HealthLevelPrecise,HealthLevelPrecise,1,AFIH (MaintenanceOrderHeader),Syst. Condition,Would map to HealthLevelType reference data items
25,Work Order,HealthAssessment,/Asset/HealthAssessment/HealthLevelType,HealthLevelType,Breakdown Maintenance Activity Sys. Cond,T357M_T(MachineOperatingCondition),Text on Operating Condition,This likely not need to be mapped directly as it is related to the system condition entry.
26,WorkOrder,PresentLifeCycleStatus,/PresentLifeCycleStatus/ShortName,ShortName,10000012,AFIH (MaintenanceOrderHeader),Revision for Plant Maintenance and Customer Service,This looks like it would actually refer to a parent WorkOrder in a WorkOrderHierarchy as the Revisions are used to group work to be executed together during some time period.
27,WorkOrder,PresentLifeCycleStatus,/PresentLifeCycleStatus/FullName,FullName,Maintennance revision for preventive order,T352R(MaintenanceRevision),Revision Description,related to above
28,Segment,,,get better understanding of how ABC is used in Dow,A,ILOA (FunctionLocation),ABC Indicator for technical object,Criticality of the Segment and the CriticalityScaleType
29,Segment,,,get better understanding of how ABC is used in Dow,ABC indicator Tecobj,T370C (ABCIndicator),Text for ABC Indicator for Technical Objects,related to above
30,WorkOrder,Agent,/Agent/ShortName??,ShortName,U41777777778,IHPA(Partner),Partner,"Yes, would map to another AgentRoleWithWork, an appropriate AgentRoleType for 'Partner', and the Agent itself for the role."
31,WorkOrder,Agent,/Agent/FullName??,FullName,SAP PM USER WITH 80 Character,ADRP,Full Name of Person,Dependent on previous
32,WorkOrder,,,get better understanding how Notification No. is defined,1.00E+11,AFIH (MaintenanceOrderHeader),Notification No,Mapping to Request for Work entity is how we have mapped the Notifications at the moment.
